id,epsfiy
44,0.8991459
92,1.7199917
140,-0.19725929
188,1.2185452
236,1.3199152
284,1.7199917
332,1.214393
380,0.34694052
428,-0.73995584
476,2.4425464
524,-0.45078853
572,1.68768
620,6.5322924
668,1.2467047
716,2.65286
764,-0.20431207
812,4.82533
908,2.0175743
956,-0.57991695
1004,28.869081
1052,1.2467047
1100,1.7199917
1148,2.1562555
1196,1.7199917
1244,0.3296657
1292,1.8021634
1340,2.0020266
1388,0.5898838
1436,4.8880115
1484,4.0346565
1532,-2.5889423
1580,1.214393
1628,-1.2081494
1676,0.15738519
1724,2.5659513
1772,5.41935
1820,-0.27156526
1868,-0.106655985
1916,1.2467047
1964,1.2467047
2012,2.0767028
2060,-0.48310027
2108,-0.25195998
2156,1.214393
2204,3.2898738
2252,1.8419317
2300,1.5540069
2348,1.8637503
2396,1.2598
2444,0.7801996
2492,1.2467047
2540,-1.4922885
2588,2.179709
2636,1.8261371
2684,1.8021634
2732,1.7199917
2780,1.7199917
2828,-0.7050144
2876,0.5898838
2924,1.2467047
2972,2.3432481
3020,1.9189324
3068,1.214393
3116,1.7199917
3212,11.368989
3260,3.2536798
3308,-0.73995584
3356,5.4442053
3404,1.7199917
3452,1.214393
3500,1.2467047
3548,1.7199917
3596,1.2467047
3644,1.7199917
3692,0.8125114
3740,1.2816461
3788,9.837907
3836,2.456072
3884,4.3503175
3932,-1.6786451
3980,1.7199917
4028,-0.041334026
4076,1.2467047
4124,1.2467047
4172,-0.041334026
4220,-0.48310027
4268,1.2534866
4316,7.3052564
4364,0.33070913
4412,1.214393
4460,12.765971
4508,1.2467047
4556,3.577331
4604,6.121001
4652,1.8578162
4700,3.321165
4748,6.6061854
4796,-0.73995584
4844,1.2508569
4892,3.5677013
4940,3.2517495
4988,1.9705575
5036,-0.48310027
5084,2.1562555
5132,1.8986918
5180,1.2467047
5228,13.811164
5276,-0.5581357
5324,4.862824
5372,-1.8344578
5420,1.214393
5468,3.578755
5516,-1.2081494
5564,1.2467047
5612,-0.19725929
5660,2.643564
5708,-0.57991695
5756,1.7199917
5804,3.1792984
5852,1.2467047
5900,2.0767028
5948,1.7199917
5996,2.1562555
6044,0.22097872
6092,-0.48310027
6140,1.214393
6188,3.8290825
6236,-0.19725929
6284,1.2741827
6332,0.090132
6380,4.8552938
6428,1.7675503
6476,26.558567
6524,2.5383627
6572,1.6850502
6620,1.2467047
6668,1.2493345
6716,1.8021634
6764,0.7801996
6812,0.2983974
6860,1.8021634
6908,0.41370377
6956,1.7199917
7004,0.34694052
7052,-0.19725929
7100,2.0767028
7148,2.648564
7196,1.8261371
7244,-2.5889423
7292,1.214393
7340,1.2467047
7388,1.7199917
7436,0.2983974
7484,-0.57991695
7532,1.8021634
7580,1.75976
7628,2.5383627
7676,0.42881992
7724,-3.1615431
7772,0.090132
7820,1.2467047
7868,2.8279014
7916,-0.73995584
7964,1.7199917
8012,-0.106655985
8060,1.2467047
8108,1.7199917
8156,1.7199917
8204,1.8021634
8252,0.5898838
8300,1.7199917
8348,0.83583724
8396,0.7801996
8444,-0.041334026
8492,1.2493345
8540,1.2467047
8588,1.2816461
8636,-0.48310027
8684,1.8021634
8732,1.8021634
8780,1.0605412
8828,1.214393
8876,-0.041334026
8924,1.1352509
8972,0.5927697
9020,-1.4922885
9068,2.5681717
9116,0.85227984
9164,1.7199917
9212,-3.0602288
9260,-0.19725929
9308,1.214393
9356,8.302975
9404,0.34694052
9452,3.7617426
9500,1.214393
9548,0.6344556
9596,1.8021634
9644,1.9589304
9692,11.822985
9740,-0.24933027
9788,9.296314
9836,1.7199917
9884,1.214393
9932,0.7801996
9980,-0.7050144
10028,1.2467047
10076,1.2467047
10124,1.2467047
10172,11.631894
10220,2.9606981
10268,1.7199917
10316,1.214393
10364,0.99129015
10412,0.5898838
10460,0.7801996
10508,1.4644985
10556,0.8125114
10604,-1.4922885
10652,1.2467047
10700,0.8991459
10748,1.2467047
10796,2.514389
10844,1.9705575
10892,1.214393
10940,3.5067375
11036,1.8969102
11084,1.8021634
11132,1.2467047
11180,1.8021634
11228,0.7801996
11276,1.214393
11324,1.68768
11372,1.2467047
11420,1.7199917
11468,1.7199917
11516,0.41370377
11564,5.14629
11612,1.2493345
11660,-0.27156526
11708,1.214393
11756,4.2657857
11804,1.214393
11852,1.214393
11900,1.2467047
11948,1.214393
11996,1.2467047
12044,1.6527386
12092,0.7801996
12140,1.7199917
12188,0.7801996
12236,-0.041334026
12284,2.8768225
12332,0.91694134
12380,1.798854
12428,-1.8344578
12476,1.7199917
12524,1.0752163
12572,1.7602835
12620,1.214393
12668,3.8893166
12716,0.6221956
12764,1.8261371
12812,1.727782
